,CUSTOMS_REGIME_CODE,ITEMS_TOTAL_AMOUNT,SENDER_SITE_LOC_ID,month
0,1000,348324332765.0,15793,5
1,2100,619489728.0,15793,5
2,4000,348943822493.0,15793,5
3,1000,524884448.0,7597,7
4,4000,28521692304.0,8627,7
5,1000,6502632.0,15695,7
6,4000,6476640.0,15695,7
7,1000,39822045316.0,15793,7
8,4000,11265088000.0,15793,7
9,1000,6265924128.0,15801,7
10,4000,6265924128.0,15801,7
11,1000,529618987.0,15705,8
12,4000,529618987.0,15705,8
13,1000,0.0,15793,1
14,2100,0.0,15793,1
15,4000,0.0,15793,1
16,1000,0.0,15793,2
17,2100,0.0,15793,2
18,4000,0.0,15793,2
19,1000,0.0,15793,3
20,2100,0.0,15793,3
21,4000,0.0,15793,3
22,1000,0.0,15793,4
23,2100,0.0,15793,4
24,4000,0.0,15793,4
25,1000,0.0,15793,6
26,2100,0.0,15793,6
27,4000,0.0,15793,6
28,2100,0.0,15793,7
29,1000,0.0,15793,8
30,2100,0.0,15793,8
31,4000,0.0,15793,8
32,1000,0.0,15793,9
33,2100,0.0,15793,9
34,4000,0.0,15793,9
35,1000,0.0,15793,10
36,2100,0.0,15793,10
37,4000,0.0,15793,10
38,1000,0.0,15793,11
39,2100,0.0,15793,11
40,4000,0.0,15793,11
41,1000,0.0,15793,12
42,2100,0.0,15793,12
43,4000,0.0,15793,12
44,1000,0.0,7597,1
45,2100,0.0,7597,1
46,4000,0.0,7597,1
47,1000,0.0,7597,2
48,2100,0.0,7597,2
49,4000,0.0,7597,2
50,1000,0.0,7597,3
51,2100,0.0,7597,3
52,4000,0.0,7597,3
53,1000,0.0,7597,4
54,2100,0.0,7597,4
55,4000,0.0,7597,4
56,1000,0.0,7597,5
57,2100,0.0,7597,5
58,4000,0.0,7597,5
59,1000,0.0,7597,6
60,2100,0.0,7597,6
61,4000,0.0,7597,6
62,2100,0.0,7597,7
63,4000,0.0,7597,7
64,1000,0.0,7597,8
65,2100,0.0,7597,8
66,4000,0.0,7597,8
67,1000,0.0,7597,9
68,2100,0.0,7597,9
69,4000,0.0,7597,9
70,1000,0.0,7597,10
71,2100,0.0,7597,10
72,4000,0.0,7597,10
73,1000,0.0,7597,11
74,2100,0.0,7597,11
75,4000,0.0,7597,11
76,1000,0.0,7597,12
77,2100,0.0,7597,12
78,4000,0.0,7597,12
79,1000,0.0,8627,1
80,2100,0.0,8627,1
81,4000,0.0,8627,1
82,1000,0.0,8627,2
83,2100,0.0,8627,2
84,4000,0.0,8627,2
85,1000,0.0,8627,3
86,2100,0.0,8627,3
87,4000,0.0,8627,3
88,1000,0.0,8627,4
89,2100,0.0,8627,4
90,4000,0.0,8627,4
91,1000,0.0,8627,5
92,2100,0.0,8627,5
93,4000,0.0,8627,5
94,1000,0.0,8627,6
95,2100,0.0,8627,6
96,4000,0.0,8627,6
97,1000,0.0,8627,7
98,2100,0.0,8627,7
99,1000,0.0,8627,8
100,2100,0.0,8627,8
101,4000,0.0,8627,8
102,1000,0.0,8627,9
103,2100,0.0,8627,9
104,4000,0.0,8627,9
105,1000,0.0,8627,10
106,2100,0.0,8627,10
107,4000,0.0,8627,10
108,1000,0.0,8627,11
109,2100,0.0,8627,11
110,4000,0.0,8627,11
111,1000,0.0,8627,12
112,2100,0.0,8627,12
113,4000,0.0,8627,12
114,1000,0.0,15695,1
115,2100,0.0,15695,1
116,4000,0.0,15695,1
117,1000,0.0,15695,2
118,2100,0.0,15695,2
119,4000,0.0,15695,2
120,1000,0.0,15695,3
121,2100,0.0,15695,3
122,4000,0.0,15695,3
123,1000,0.0,15695,4
124,2100,0.0,15695,4
125,4000,0.0,15695,4
126,1000,0.0,15695,5
127,2100,0.0,15695,5
128,4000,0.0,15695,5
129,1000,0.0,15695,6
130,2100,0.0,15695,6
131,4000,0.0,15695,6
132,2100,0.0,15695,7
133,1000,0.0,15695,8
134,2100,0.0,15695,8
135,4000,0.0,15695,8
136,1000,0.0,15695,9
137,2100,0.0,15695,9
138,4000,0.0,15695,9
139,1000,0.0,15695,10
140,2100,0.0,15695,10
141,4000,0.0,15695,10
142,1000,0.0,15695,11
143,2100,0.0,15695,11
144,4000,0.0,15695,11
145,1000,0.0,15695,12
146,2100,0.0,15695,12
147,4000,0.0,15695,12
148,1000,0.0,15801,1
149,2100,0.0,15801,1
150,4000,0.0,15801,1
151,1000,0.0,15801,2
152,2100,0.0,15801,2
153,4000,0.0,15801,2
154,1000,0.0,15801,3
155,2100,0.0,15801,3
156,4000,0.0,15801,3
157,1000,0.0,15801,4
158,2100,0.0,15801,4
159,4000,0.0,15801,4
160,1000,0.0,15801,5
161,2100,0.0,15801,5
162,4000,0.0,15801,5
163,1000,0.0,15801,6
164,2100,0.0,15801,6
165,4000,0.0,15801,6
166,2100,0.0,15801,7
167,1000,0.0,15801,8
168,2100,0.0,15801,8
169,4000,0.0,15801,8
170,1000,0.0,15801,9
171,2100,0.0,15801,9
172,4000,0.0,15801,9
173,1000,0.0,15801,10
174,2100,0.0,15801,10
175,4000,0.0,15801,10
176,1000,0.0,15801,11
177,2100,0.0,15801,11
178,4000,0.0,15801,11
179,1000,0.0,15801,12
180,2100,0.0,15801,12
181,4000,0.0,15801,12
182,1000,0.0,15705,1
183,2100,0.0,15705,1
184,4000,0.0,15705,1
185,1000,0.0,15705,2
186,2100,0.0,15705,2
187,4000,0.0,15705,2
188,1000,0.0,15705,3
189,2100,0.0,15705,3
190,4000,0.0,15705,3
191,1000,0.0,15705,4
192,2100,0.0,15705,4
193,4000,0.0,15705,4
194,1000,0.0,15705,5
195,2100,0.0,15705,5
196,4000,0.0,15705,5
197,1000,0.0,15705,6
198,2100,0.0,15705,6
199,4000,0.0,15705,6
200,1000,0.0,15705,7
201,2100,0.0,15705,7
202,4000,0.0,15705,7
203,2100,0.0,15705,8
204,1000,0.0,15705,9
205,2100,0.0,15705,9
206,4000,0.0,15705,9
207,1000,0.0,15705,10
208,2100,0.0,15705,10
209,4000,0.0,15705,10
210,1000,0.0,15705,11
211,2100,0.0,15705,11
212,4000,0.0,15705,11
213,1000,0.0,15705,12
214,2100,0.0,15705,12
215,4000,0.0,15705,12
