,CUSTOMS_REGIME_CODE,ITEMS_TOTAL_AMOUNT,SENDER_SITE_LOC_ID,year
0,1000,524884448.0,7597,2017
1,4000,28521692304.0,8627,2017
2,1000,6502632.0,15695,2017
3,4000,6476640.0,15695,2017
4,1000,529618987.0,15705,2017
5,4000,529618987.0,15705,2017
6,1000,388146378081.0,15793,2017
7,2100,619489728.0,15793,2017
8,4000,360208910493.0,15793,2017
9,1000,6265924128.0,15801,2017
10,4000,6265924128.0,15801,2017
11,1000,1127425820.0,7597,2018
12,4000,1127425820.0,7597,2018
13,4000,0.0,7597,2017
14,2100,0.0,7597,2017
15,2100,0.0,7597,2018
16,1000,0.0,8627,2017
17,2100,0.0,8627,2017
18,1000,0.0,8627,2018
19,4000,0.0,8627,2018
20,2100,0.0,8627,2018
21,2100,0.0,15695,2017
22,1000,0.0,15695,2018
23,4000,0.0,15695,2018
24,2100,0.0,15695,2018
25,2100,0.0,15705,2017
26,1000,0.0,15705,2018
27,4000,0.0,15705,2018
28,2100,0.0,15705,2018
29,1000,0.0,15793,2018
30,4000,0.0,15793,2018
31,2100,0.0,15793,2018
32,2100,0.0,15801,2017
33,1000,0.0,15801,2018
34,4000,0.0,15801,2018
35,2100,0.0,15801,2018
