,SENDER_SITE_LOC_ID,day,sum(ITEMS_TOTAL_AMOUNT)
0,15695,18,12730720.0
1,15695,28,222560.0
2,15793,11,11336936.0
3,15695,19,25992.0
4,15801,18,12531848256.0
5,8627,18,28521692304.0
6,15793,18,51075796380.0
7,7597,17,524884448.0
8,15695,1,0.0
9,15695,2,0.0
10,15695,3,0.0
11,15695,4,0.0
12,15695,5,0.0
13,15695,6,0.0
14,15695,7,0.0
15,15695,8,0.0
16,15695,9,0.0
17,15695,10,0.0
18,15695,11,0.0
19,15695,12,0.0
20,15695,13,0.0
21,15695,14,0.0
22,15695,15,0.0
23,15695,16,0.0
24,15695,17,0.0
25,15695,20,0.0
26,15695,21,0.0
27,15695,22,0.0
28,15695,23,0.0
29,15695,24,0.0
30,15695,25,0.0
31,15695,26,0.0
32,15695,27,0.0
33,15695,29,0.0
34,15695,30,0.0
35,15695,31,0.0
36,15793,1,0.0
37,15793,2,0.0
38,15793,3,0.0
39,15793,4,0.0
40,15793,5,0.0
41,15793,6,0.0
42,15793,7,0.0
43,15793,8,0.0
44,15793,9,0.0
45,15793,10,0.0
46,15793,12,0.0
47,15793,13,0.0
48,15793,14,0.0
49,15793,15,0.0
50,15793,16,0.0
51,15793,17,0.0
52,15793,19,0.0
53,15793,20,0.0
54,15793,21,0.0
55,15793,22,0.0
56,15793,23,0.0
57,15793,24,0.0
58,15793,25,0.0
59,15793,26,0.0
60,15793,27,0.0
61,15793,28,0.0
62,15793,29,0.0
63,15793,30,0.0
64,15793,31,0.0
65,15801,1,0.0
66,15801,2,0.0
67,15801,3,0.0
68,15801,4,0.0
69,15801,5,0.0
70,15801,6,0.0
71,15801,7,0.0
72,15801,8,0.0
73,15801,9,0.0
74,15801,10,0.0
75,15801,11,0.0
76,15801,12,0.0
77,15801,13,0.0
78,15801,14,0.0
79,15801,15,0.0
80,15801,16,0.0
81,15801,17,0.0
82,15801,19,0.0
83,15801,20,0.0
84,15801,21,0.0
85,15801,22,0.0
86,15801,23,0.0
87,15801,24,0.0
88,15801,25,0.0
89,15801,26,0.0
90,15801,27,0.0
91,15801,28,0.0
92,15801,29,0.0
93,15801,30,0.0
94,15801,31,0.0
95,8627,1,0.0
96,8627,2,0.0
97,8627,3,0.0
98,8627,4,0.0
99,8627,5,0.0
100,8627,6,0.0
101,8627,7,0.0
102,8627,8,0.0
103,8627,9,0.0
104,8627,10,0.0
105,8627,11,0.0
106,8627,12,0.0
107,8627,13,0.0
108,8627,14,0.0
109,8627,15,0.0
110,8627,16,0.0
111,8627,17,0.0
112,8627,19,0.0
113,8627,20,0.0
114,8627,21,0.0
115,8627,22,0.0
116,8627,23,0.0
117,8627,24,0.0
118,8627,25,0.0
119,8627,26,0.0
120,8627,27,0.0
121,8627,28,0.0
122,8627,29,0.0
123,8627,30,0.0
124,8627,31,0.0
125,7597,1,0.0
126,7597,2,0.0
127,7597,3,0.0
128,7597,4,0.0
129,7597,5,0.0
130,7597,6,0.0
131,7597,7,0.0
132,7597,8,0.0
133,7597,9,0.0
134,7597,10,0.0
135,7597,11,0.0
136,7597,12,0.0
137,7597,13,0.0
138,7597,14,0.0
139,7597,15,0.0
140,7597,16,0.0
141,7597,18,0.0
142,7597,19,0.0
143,7597,20,0.0
144,7597,21,0.0
145,7597,22,0.0
146,7597,23,0.0
147,7597,24,0.0
148,7597,25,0.0
149,7597,26,0.0
150,7597,27,0.0
151,7597,28,0.0
152,7597,29,0.0
153,7597,30,0.0
154,7597,31,0.0
